Date,Open,High,Low,Close,Volume,Close
2015/6/12,28.3,28.8,27.3,28.55,2939000,28.55
2015/6/15,28.55,28.75,28.1,28.1,1765000,28.1
2015/6/16,28.1,28.3,25.3,25.3,4743000,25.3
2015/6/17,25.3,25.9,25.1,25.6,2825000,25.6
2015/6/18,25.4,26.25,25.3,26.15,1292000,26.15
2015/6/19,26.15,26.15,26.15,26.15,0,26.15
2015/6/22,26.5,26.55,25.85,26,947000,26
2015/6/23,26.1,26.55,25.9,26.15,1076000,26.15
2015/6/24,26,26.2,25.95,26.05,583000,26.05
2015/6/25,26.05,26.25,26,26.15,983000,26.15
2015/6/26,26.15,26.45,26.15,26.35,790000,26.35
2015/6/29,26,26.4,26,26.2,1218000,26.2
2015/6/30,26.15,26.4,26.1,26.2,827000,26.2
2015/7/1,26.2,26.55,26.15,26.3,1165000,26.3
2015/7/2,26.3,26.4,26.1,26.2,831000,26.2
2015/7/3,26.2,28,25.85,27.5,2527000,27.5
2015/7/6,27.5,28.3,27.5,27.55,2760000,27.55
2015/7/7,27.55,27.7,27.2,27.5,2244000,27.5
2015/7/8,27.5,27.6,27,27.4,2489000,27.4
2015/7/9,27.4,27.5,25.35,27.4,1530000,27.4
2015/7/10,27.4,27.4,27.4,27.4,0,27.4
2015/7/13,27.3,27.45,27.25,27.25,1300000,27.25
2015/7/14,27.25,27.25,26.15,27,933000,27
2015/7/15,26.85,27,26.5,26.85,839000,26.85
2015/7/16,26.85,26.9,26.55,26.8,1173000,26.8
2015/7/17,26.8,26.85,25.65,26.25,2447000,26.25
2015/7/20,26.2,26.2,23.65,23.65,3228000,23.65
2015/7/21,23.65,24.5,23.3,23.75,6533000,23.75
2015/7/22,23.65,24.25,23.55,23.85,1665000,23.85
2015/7/23,23.75,24.15,22.5,23.7,2731000,23.7
2015/7/24,23.7,24.3,22.1,24.3,4240000,24.3
2015/7/27,24.3,24.3,23.25,23.8,1997000,23.8
2015/7/28,23.75,24,21.8,23.7,2860000,23.7
2015/7/29,23.6,23.6,22.6,23.6,1361000,23.6
2015/7/30,23.9,25.4,23.9,24.45,2094000,24.45
2015/7/31,24.6,25,23.85,24.35,1647000,24.35
2015/8/3,24.2,24.25,23.6,24.15,1707000,24.15
2015/8/4,24.2,24.45,23.75,24.05,1296000,24.05
2015/8/5,24.05,24.35,23.65,24.05,1230000,24.05
2015/8/6,24,24,22.85,23.45,2029000,23.45
